Country,Last,,,
Faroe Islands ,0.3,,,
Liechtenstein ,1.9,,,
Switzerland ,2,,,
Denmark ,2.3,,,
Moldova ,2.5,,,
Malta ,2.9,,,
Norway ,3.2,,,
Czech Republic ,3.5,,,
Netherlands ,3.6,,,
Russia ,3.7,,,
United Kingdom ,3.7,,,
Hungary ,3.8,,,
Belarus ,3.9,,,
Bulgaria ,4.4,,,
Ireland ,4.4,,,
Iceland ,4.6,,,
Luxembourg ,4.9,,,
Poland ,5.1,,,
Belgium ,5.4,,,
Slovenia ,5.4,,,
Germany ,5.5,,,
Romania ,5.5,,,
Estonia ,5.6,,,
Portugal ,5.8,,,
Slovakia ,5.8,,,
Finland ,5.9,,,
European Union ,6.1,,,
Sweden ,6.4,,,
Euro Area ,6.5,,,
Croatia ,6.7,,,
Latvia ,6.9,,,
France ,7.3,,,
Austria ,7.4,,,
Italy ,7.8,,,
Cyprus ,8,,,
Lithuania ,8.3,,,
Serbia ,8.9,,,
Turkey ,10.2,,,
Albania ,10.6,,,
Ukraine ,10.6,,,
Greece ,11.6,,,
Spain ,12.67,,,
Macedonia ,14.3,,,
Montenegro ,19.99,,,
Kosovo ,20.7,,,
Bosnia and Herzegovina ,31.12,,,
