Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billions,,Nominal_gdp,nomgdppercent
08/31/2022,93769635059.00,15254184552.00,109023819611.00,2022,109.0238196,1.39205E+12,9.61001E+13,0.113%
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021,104.0293757,1.44839E+12,8.49068E+13,0.123%
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020,105.890447,1.5503E+12,8.76529E+13,0.121%
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019,73.53634532,1.67135E+12,8.6413E+13,0.085%
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018,61.82179242,1.83E+12,8.1404E+13,0.076%
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017,46.10766654,1.99359E+12,7.64656E+13,0.060%
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016,55.75027879,2.16355E+12,7.51793E+13,0.074%
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015,57.3337519,2.30217E+12,7.97088E+13,0.072%
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014,75.33431905,2.48482E+12,7.76072E+13,0.097%
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013,90.07364174,2.74074E+12,7.54881E+13,0.119%
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012,95.80864076,2.99675E+12,7.38538E+13,0.130%
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011,92.58552538,3.31026E+12,6.65961E+13,0.139%
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010,60.43944864,3.81654E+12,6.08091E+13,0.099%
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009,42.30084772,4.65624E+12,6.41237E+13,0.066%
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008,21.48733675,5.36674E+12,5.8355E+13,0.037%
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007,9.833092338,5.97799E+12,5.17798E+13,0.019%
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006,13.66666076,6.49837E+12,4.77797E+13,0.029%
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005,34.71426491,7.34966E+12,4.41176E+13,0.079%
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004,62.13979603,8.65521E+12,3.9147E+13,0.159%
12/31/2003,65032062712.00,6880893268.00,71912955980.00,2003,71.91295598,1.00527E+13,3.49114E+13,0.206%
12/31/2002,63601058794.00,6868671012.00,70469729806.00,2002,70.46972981,1.13349E+13,3.36154E+13,0.210%
12/31/2001,53477225409.00,6424578684.00,59901804093.00,2001,59.90180409,1.17259E+13,3.38309E+13,0.177%
12/31/2000,42990531049.00,6331595468.00,49322126517.00,2000,49.32212652,1.16081E+13,3.27374E+13,0.151%
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1999,57.49613624,1.18383E+13,3.154E+13,0.182%
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1998,66.73984298,1.22698E+13,3.16204E+13,0.211%
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1997,52.56890121,1.28601E+13,3.17367E+13,0.166%
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1996,42.00908256,1.52053E+13,3.10436E+13,0.135%
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1995,41.58661194,1.73072E+13,2.78723E+13,0.149%
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1994,30.21144545,1.9338E+13,2.5822E+13,0.117%
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1993,29.13953793,2.0194E+13,2.54061E+13,0.115%
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1992,27.77163651,2.278E+13,2.37596E+13,0.117%
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1991,26.66429172,2.37596E+13,2.278E+13,0.117%
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1990,23.30376271,2.54061E+13,2.0194E+13,0.115%
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1989,24.64999079,2.5822E+13,1.9338E+13,0.127%
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1988,26.52396918,2.78723E+13,1.73072E+13,0.153%
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1987,30.61832206,3.10436E+13,1.52053E+13,0.201%
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1986,35.34807558,3.17367E+13,1.28601E+13,0.275%
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1985,37.6650352,3.16204E+13,1.22698E+13,0.307%
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1984,37.70664729,3.154E+13,1.18383E+13,0.319%
,,,,,,3.27374E+13,,
,,,,,,3.38309E+13,,
,,,,,,3.36154E+13,,
,,,,,,3.49114E+13,,
,,,,,,3.9147E+13,,
,,,,,,4.41176E+13,,
,,,,,,4.77797E+13,,
,,,,,,5.17798E+13,,
,,,,,,5.8355E+13,,
,,,,,,6.41237E+13,,
,,,,,,6.08091E+13,,
,,,,,,6.65961E+13,,
,,,,,,7.38538E+13,,
,,,,,,7.54881E+13,,
,,,,,,7.76072E+13,,
,,,,,,7.97088E+13,,
,,,,,,7.51793E+13,,
,,,,,,7.64656E+13,,
,,,,,,8.1404E+13,,
,,,,,,8.6413E+13,,
,,,,,,8.76529E+13,,
,,,,,,8.49068E+13,,
,,,,,,9.61001E+13,,
