geo,TIME_PERIOD,OBS_VALUE
BE,2010,2.9
BE,2011,1.7
BE,2012,0.7
BE,2013,0.5
BE,2014,1.6
BE,2015,2
BE,2016,1.3
BE,2017,1.6
BE,2018,1.8
BE,2019,2.2
BE,2020,-5.4
BE,2021,6.1
DE,2010,4.2
DE,2011,3.9
DE,2012,0.4
DE,2013,0.4
DE,2014,2.2
DE,2015,1.5
DE,2016,2.2
DE,2017,2.7
DE,2018,1
DE,2019,1.1
DE,2020,-3.7
DE,2021,2.6
EU27_2020,2010,2.2
EU27_2020,2011,1.9
EU27_2020,2012,-0.7
EU27_2020,2013,-0.1
EU27_2020,2014,1.6
EU27_2020,2015,2.3
EU27_2020,2016,2
EU27_2020,2017,2.8
EU27_2020,2018,2.1
EU27_2020,2019,1.8
EU27_2020,2020,-5.7
EU27_2020,2021,5.4
FR,2010,1.9
FR,2011,2.2
FR,2012,0.3
FR,2013,0.6
FR,2014,1
FR,2015,1.1
FR,2016,1.1
FR,2017,2.3
FR,2018,1.9
FR,2019,1.8
FR,2020,-7.8
FR,2021,6.8
IT,2010,1.7
IT,2011,0.7
IT,2012,-3
IT,2013,-1.8
IT,2014,0
IT,2015,0.8
IT,2016,1.3
IT,2017,1.7
IT,2018,0.9
IT,2019,0.5
IT,2020,-9
IT,2021,6.7
NL,2010,1.3
NL,2011,1.6
NL,2012,-1
NL,2013,-0.1
NL,2014,1.4
NL,2015,2
NL,2016,2.2
NL,2017,2.9
NL,2018,2.4
NL,2019,2
NL,2020,-3.9
NL,2021,4.9
SE,2010,6
SE,2011,3.2
SE,2012,-0.6
SE,2013,1.2
SE,2014,2.7
SE,2015,4.5
SE,2016,2.1
SE,2017,2.6
SE,2018,2
SE,2019,2
SE,2020,-2.2
SE,2021,5.1
UK,2010,2.1
UK,2011,1.3
UK,2012,1.4
UK,2013,2.2
UK,2014,2.9
UK,2015,2.4
UK,2016,1.7
UK,2017,1.7
UK,2018,1.3
UK,2019,1.4
